Id,Camera,framePosition,pos.x,pos.y,camerapos.x,camerapos.y
24,0,305,45.1172,49.2361,1071.25,484.224
25,0,305,44.0625,49.375,1040.33,483.252
25,0,313,44.1016,49.3056,1042.14,483.161
25,0,315,43.9844,49.4444,1037.34,483.404
25,0,315,43.9844,49.4444,1037.34,483.404
25,0,316,43.9844,49.375,1037.61,483.274
25,0,317,43.9844,49.375,1037.67,483.069
25,0,318,43.9844,49.375,1037.95,483.411
2,0,305,16.6797,14.0972,741.192,339.408
2,0,307,16.9922,14.7222,741.397,340.595
2,0,308,17.1484,15.1389,741.297,341.289
2,0,308,17.1484,15.1389,741.297,341.289
2,0,309,17.1484,15.1389,741.307,341.33
2,0,310,17.1094,15,741.326,341.123
2,0,311,17.0703,14.9306,741.422,340.946
2,0,312,16.9922,14.6528,741.64,340.431
2,0,313,17.2266,15.2778,741.413,341.554
2,0,315,17.2656,15.3472,741.312,341.793
2,0,315,17.2656,15.3472,741.312,341.793
2,0,316,17.3047,15.3472,741.454,341.804
2,0,317,17.3828,15.5556,741.705,342.148
2,0,318,17.4219,15.625,741.683,342.286
2,0,319,17.3438,15.4167,741.937,341.951
2,0,321,17.3828,15.4861,741.895,342.025
2,0,321,17.3828,15.4861,741.895,342.025
2,0,322,17.2266,15.2083,741.919,341.46
2,0,323,17.3828,15.4861,742.356,342.007
2,0,325,17.8125,16.3194,743.074,343.622
2,0,326,17.8906,16.3889,743.39,343.782
2,0,327,17.8906,16.3889,743.248,343.776
2,0,327,17.8906,16.3889,743.248,343.776
2,0,328,17.8906,16.3889,743.105,343.874
2,0,329,17.6953,16.0417,742.948,343.168
2,0,330,17.6562,15.8333,743.581,342.753
2,0,331,17.6953,15.9028,743.643,342.934
2,0,332,17.6562,15.8333,743.655,342.698
2,0,333,17.6562,15.8333,743.655,342.698
2,0,334,17.7734,16.0417,744.032,343.113
2,0,336,18.0859,16.5972,744.238,344.329
2,0,337,18.125,16.7361,744.536,344.493
2,0,338,18.0859,16.5972,744.562,344.254
2,0,339,18.0859,16.5972,744.533,344.333
2,0,339,18.0859,16.5972,744.533,344.333
2,0,340,18.0859,16.5278,744.875,344.137
2,0,341,18.2422,16.8056,745.516,344.779
2,0,342,18.2422,16.7361,745.557,344.616
2,0,343,18.3984,17.0833,745.79,345.272
2,0,344,18.7891,17.8472,746.499,346.824
2,0,345,18.7891,17.8472,746.517,346.848
2,0,347,18.75,17.7083,747.018,346.576
2,0,348,18.5156,17.1528,747.233,345.439
2,0,349,18.3984,16.6667,748.14,344.542
2,0,350,18.3984,16.6667,748.245,344.556
2,0,351,18.3984,16.6667,748.274,344.514
